,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
39,,"['38 22/09/2019 ELECTRO Instant Transfer', '17:32:01', 'NIC', 'From', 'advance/A', 'advance/Tr', 'BANKING', 'ABMB', 'OBIFT2209', 'ansfer', 'SERVICES', '201939931', 'From', 'ABMB', 'Page 2 of 6']",200.0,Credit,27623.03,False,True
40,,"['39 21/09/2019 ELECTRO Instant Transfer', '13:47:10', 'NIC', 'From', 'advance', 'advance', 'BANKING', 'ABMB', '200/AOBIF 200/Transf', 'SERVICES', 'T21092019 er From', '398307', 'ABMB', '12:16:28 PAYMENT', 'TO CA', 'PETROMA', 'SERVICES', 'RT']",200.0,Credit,27823.03,False,False
41,,"['41 19/09/2019 MELAKA', '18:06:57', 'DEP/MISC']",5389.05,Debit,27101.52,False,True
42,,"['42 19/09/2019 MELAKA', '18:06:44', 'DEP/MISC']",937.45,Debit,21712.47,False,True
43,,"['43 19/09/2019 ELECTRO', '17:25:03', 'NIC', 'From', 'advance', 'advance', 'BANKING', 'ABMB', '350./AOBIF', '350. Mich', 'SERVICES', 'T19092019', '100/Transf', '390765', 'er From', 'ABMB']",450.0,Debit,20775.02,False,True
44,,"['44 19/09/2019 CARD AND IBFT FRM OTHS', '14:01:55 PAYMENT TO CA', 'Pacific Mkt 20163394', 'SERVICES']",157.5,Credit,21225.02,False,True
45,,"['45 19/09/2019 CARD AND CR ADVICE - IBG', '10:01:13 PAYMENT', 'SCREEN', 'SCREEN', 'SERVICES', 'CINEMA', 'CINEMA/T', 'C GLOBAL', 'MARKETIN']",1927.75,Debit,21067.52,False,True
46,,"['46 18/09/2019 ELECTRO Instant Transfer', '18:46:20', 'NIC', 'From', 'entermain/', 'entermain/', 'BANKING', 'ABMB', 'AOBIFT180', 'Transfer', 'SERVICES', '920193857', 'From', '10', 'ABMB']",200.0,Debit,19139.77,False,True
47,,"['47 18/09/2019 ELECTRO Instant Transfer', '11:04:23', 'NIC', 'From', 'Petty', 'Petty cash', 'BANKING', 'ABMB', 'cas/AOBIF', '100/Transf', 'SERVICES', 'T18092019', 'er From', '38170', 'ABMB']",200.0,Credit,19339.77,False,False
48,,"['48 18/09/2019 CARD AND CR ADVICE - IBG', '10:00:41 PAYMENT', 'HOE MINI', 'aug19/BEB', 'SERVICES', 'MARK', 'K09173101', '6498']",764.0,Credit,19539.77,False,True
49,,"['49 17/09/2019 CARD AND CR ADVICE - IBG', '16:00:41 PAYMENT', 'HOE', '19', 'SERVICES', 'TRADING']",2510.4,Debit,18775.77,False,True
50,,"['50 17/09/2019 ELECTRO IB2G FND TRF CA', '14:44:46', 'NIC', '- CA', '2019', 'GLOBAL', 'BANKING', 'MARKETIN', 'SERVICES', 'G/AOBFTR', '170920196', '14366']",770.0,Debit,16265.37,False,True
51,,"['51 17/09/2019 ELECTRO Instant Transfer', '10:05:10', 'NIC', 'From', 'advance/A', 'advance/Tr', 'BANKING', 'ABMB', 'OBIFT1709', 'ansfer', 'SERVICES', '201937492', 'From', 'ABMB']",200.0,Debit,15495.37,False,True
52,,"['52 17/09/2019 CARD AND CR ADVICE - IBG', '10:04:47 PAYMENT', 'MART SDN', '87694/Out', 'SERVICES', 'ward ACH', 'from L &']",1080.65,Credit,15695.37,False,True
53,,"['53 17/09/2019 CARD AND CR ADVICE - IBG', '10:04:47 PAYMENT', 'MART SDN', '26750/Out', 'SERVICES', 'ward ACH', 'from L &']",164.4,Debit,14614.72,False,True
54,,"['54 17/09/2019 CARD AND CR ADVICE - IBG', '10:01:59 PAYMENT', 'PENGKAL', 'PENGKAL', 'SERVICES', 'AN', 'AN', 'TRADING', 'TRADING/', 'BEBK0915', '90528760']",294.0,Debit,14450.32,False,True
55,,"['55 17/09/2019 ELECTRO Instant Transfer', '09:38:58', 'NIC', 'From', '20/AOBIFT', '20/Transfer', 'BANKING', 'ABMB', '170920193', 'From', 'SERVICES', '74652', 'ABMB', 'Page 3 of 6']",2300.0,Debit,14156.32,False,True
56,,"['56 17/09/2019 ELECTRO NBPS IBG Dr CA', '09:38:57', 'NIC', '0510', 'TELEPHO', 'BANKING', 'NE', 'SERVICES', 'MULTIM/A', 'OBJOM170', '920197220', '09:38:55', 'NIC', 'From', '27/AOBIFT 27/Transfer', 'BANKING', 'ABMB', '170920193 From', 'SERVICES', '74674', 'ABMB']",284.1,Credit,16456.32,False,True
57,,"['58 15/09/2019 ELECTRO Instant Transfer', '10:36:28', 'NIC', 'From', 'advance/A advance/Tr', 'BANKING', 'ABMB', 'OBIFT1509 ansfer', 'SERVICES', '201937289 From', 'ABMB']",200.0,Credit,26569.02,False,True
58,,"['59 14/09/2019 ELECTRO Instant Transfer', '10:14:28', 'NIC', 'From', 'cs1900626/ cs1900626/', 'BANKING', 'ABMB', 'AOBIFT140 Transfer', 'SERVICES', '920193710 From', '30', 'ABMB']",215.0,Credit,26769.02,False,True
59,,"['60 14/09/2019 ELECTRO Instant Transfer', '10:08:05', 'NIC', 'From', 'advance/A advance/Tr', 'BANKING', 'ABMB', 'OBIFT1409 ansfer', 'SERVICES', '201937098 From', 'ABMB']",250.0,Credit,26984.02,False,True
60,,"['61 13/09/2019 MELAKA LOCAL CHQ', '15:04:17', 'DEP/MISC']",1645.1,Credit,27234.02,False,True
61,,"['62 13/09/2019 ELECTRO Instant Transfer', '07:42:05', 'NIC', 'From', 'advance/A', 'advance/Tr', 'BANKING', 'ABMB', 'OBIFT1309', 'ansfer', 'SERVICES', '201936245', 'From', 'ABMB']",300.0,Debit,25588.92,False,True
62,,"['63 12/09/2019 MELAKA', '17:03:25', 'DEP/MISC']",4077.8,Credit,25888.92,False,True
63,,"['64 12/09/2019 CARD AND', '13:38:11 PAYMENT', 'TO CA', 'Pacific Mkt 20163333', 'SERVICES']",63.0,Debit,21811.12,False,True
64,,"['65 12/09/2019 MELAKA', '02:20:58', 'FEE']",0.5,Debit,21748.12,False,True
65,,"['66 11/09/2019 MELAKA', '23:00:00', 'INCLEARING-', 'CHEQUE']",2300.0,Credit,21748.62,False,True
66,,"['67 11/09/2019 CARD AND CR ADVICE - IBG', '10:00:55 PAYMENT', 'SDN BHD AUG19', 'SERVICES', 'PYMT/BEB', 'K09105309', '2983']",410.98,Credit,24048.62,False,True
67,,"['68 11/09/2019 CARD AND', '10:00:53 PAYMENT', 'RYORI', 'RYORI', 'SERVICES', 'SDN BHD AUG19', 'PYT/BEBK', '091011109', '202']",573.72,Debit,23637.64,False,True
68,,"['69 11/09/2019 ELECTRO', '08:38:25', 'NIC', '- CA', 'discount', 'TRADING/', 'BANKING', 'AOBFTR11', 'SERVICES', '092019607', '750']",500.0,Debit,23063.92,False,True
69,,"['70 11/09/2019', '02:18:53', 'FEE']",2.0,Credit,23563.92,False,True
70,,"['71 10/09/2019', '23:00:00', 'INCLEARING-', 'CHEQUE']",1800.0,Credit,23565.92,False,True
71,,"['72 10/09/2019', '23:00:00', 'INCLEARING-', 'CHEQUE']",440.0,Credit,25365.92,False,True
72,,"['73 10/09/2019', '23:00:00', 'INCLEARING-', 'CHEQUE']",63.0,Credit,25805.92,False,True
73,,"['74 10/09/2019', '18:00:14', 'CHEQUE/MISC', 'B', 'Page 4 of 6']",600.0,Credit,25868.92,False,True
74,,"['75 10/09/2019 ELECTRO Instant Transfer', '14:30:03', 'NIC', 'From', 'advance/A advance/Tr', 'BANKING', 'ABMB', 'OBIFT1009 ansfer', 'SERVICES', '201934085 From', 'ABMB']",200.0,Credit,26468.92,False,True
75,,"['76 10/09/2019 CARD AND CR ADVICE - IBG', '10:04:43 PAYMENT', 'EVOLUTIO R/PAYMEN', 'SERVICES', 'N SDN', 'T 201905-', '08']",636.5,Credit,26668.92,False,True
76,,['77 10/09/2019 CARD AND CR ADVICE - IBG'],60.0,Debit,26032.42,False,True
77,,"['10:02:34 PAYMENT', 'SERVICES', 'K09072031', '5620']",60.0,,,False,True
78,,"['78 10/09/2019 CARD AND CR ADVICE - IBG', '10:01:45 PAYMENT', 'AND', 'GIRO/CAL', 'SERVICES', 'CHESTER LENA&CH', 'ESTER', 'TRAD']",859.34,,25972.42,False,False
79,,"['79 09/09/2019 ELECTRO Instant Transfer', '18:29:01', 'NIC', 'From', 'advance/A advance/Tr', 'BANKING', 'ABMB', 'OBIFT0809 ansfer', 'SERVICES', '201933448 From', 'ABMB']",200.0,Debit,25113.08,False,True
80,,"['80 08/09/2019 ELECTRO Instant Transfer', '07:58:26', 'NIC', 'From', 'CHUAN/AO', 'BANKING', 'ABMB', 'BIFT08092', 'SERVICES', '019334177']",200.0,Credit,25313.08,False,False
81,,"['81 08/09/2019 ELECTRO Instant Transfer', '07:58:24', 'NIC', 'From', 'PINTAR', 'BANKING', 'ABMB', 'CERDAS/A', 'SERVICES', 'OBIFT0409', '201931230', '82 07/09/2019', 'MELAKA']",695.0,Credit,25513.08,False,True
82,,"['CA DR CHQ PRO', '02:21:17', 'FEE']",0.5,Debit,208.08,False,True
83,,"['83 06/09/2019', '23:00:00', 'INCLEARING-', 'CHEQUE']",368.4,Credit,26208.58,False,True
84,,"['84 06/09/2019 ELECTRO Instant Transfer', '11:27:03', 'NIC', 'From', 'Mich', 'Mich 500.', 'BANKING', 'ABMB', '500/AOBIF', 'Max200/Tr', 'SERVICES', 'T06092019', 'ansfer', '32510', 'From', 'ABMB']",1000.0,Credit,26576.98,False,True
85,,"['85 06/09/2019 CARD AND CR ADVICE - IBG', '10:01:14 PAYMENT', 'SELECTIO 20162614/', 'SERVICES', 'N (M', 'BEBK0905', '95470199']",842.4,Credit,27576.98,False,True
86,,"['86 05/09/2019 ELECTRO', '22:04:28', 'NIC', 'From', 'fees', 'fees', 'BANKING', 'ABMB', '2018/AOBI', '2018/Trans', 'SERVICES', 'FT0509201', 'fer From', '932231', 'ABMB']",2000.0,Debit,26734.58,False,True
87,,"['87 05/09/2019 CARD AND', '22:01:10 PAYMENT', 'AKU (M)', '8078/KELU', 'SERVICES', 'SDN.', 'ARGAKU']",401.4,Credit,28734.58,False,True
88,,"['88 05/09/2019 ELECTRO', '16:16:57', 'NIC', '- CA', 'AKU', '3/AOBFTR', 'BANKING', '050920196', 'SERVICES', '01454']",267.2,Debit,28333.18,False,True
89,,"['89 05/09/2019 CARD AND', '14:43:23 PAYMENT', 'TO CA', 'Pacific Mkt', 'SERVICES']",126.0,Debit,28065.98,False,True
90,,"['90 05/09/2019 CARD AND CR ADVICE - IBG', '13:00:41 PAYMENT', 'SCREEN', 'SCREEN', 'SERVICES', 'CINEMA', 'CINEMA/T', 'C GLOBAL', 'MARKETIN']",5608.0,Debit,27939.98,False,True
91,,"['91 05/09/2019', '02:23:15', 'FEE', 'Page 5 of 6']",0.5,Debit,22331.98,False,True
92,,"['92 04/09/2019', '23:00:00', 'INCLEARING-', 'CHEQUE']",7340.7,Credit,22332.48,False,True
93,,"['93 04/09/2019', '15:20:05', 'DEP/MISC']",4958.4,Credit,29673.18,False,True
94,,"['94 04/09/2019', '02:34:38', 'FEE']",1.0,Debit,24714.78,False,True
95,,"['95 03/09/2019', '23:00:00', 'INCLEARING-', 'CHEQUE']",20997.56,Credit,24715.78,False,True
96,,"['96 03/09/2019', '23:00:00', 'INCLEARING-', 'CHEQUE']",6700.0,Credit,45713.34,False,True
97,,"['97 03/09/2019', '22:02:08', 'PAYMENT', 'ACC', 'SERVICES', 'PETROMA', 'JULY/PRIV', 'RT', 'ATE', 'TRANSAC', 'TION']",1305.3,Credit,52413.34,False,True
98,,"['98 03/09/2019 CARD AND', '19:02:11 PAYMENT', 'CONVENIE 98050/Out', 'SERVICES', 'NT R', 'ward ACH']",1380.0,Debit,51108.04,False,True
99,,"['99 03/09/2019 CARD AND', '19:02:11 PAYMENT', 'CONVENIE 98106/Out', 'SERVICES', 'NT R', 'ward ACH']",980.76,Debit,49728.04,False,True
100,,"['10 03/09/2019 MELAKA', '18:13:40', 'DEP/MISC', 'BANK']",3783.71,Debit,48747.28,False,True
101,,"['10 03/09/2019 ELECTRO', '17:49:20', 'NIC', 'From', 'advance/A', 'advance/Tr', 'BANKING', 'ABMB', 'OBIFT0309', 'ansfer', 'SERVICES', '201930325', 'From', 'ABMB']",200.0,Debit,44963.57,False,True
102,,"['10 03/09/2019 CARD AND CR ADVICE - IBG', '16:01:16 PAYMENT', 'SHOPPING 1909/116', 'SERVICES', 'CENTR']",335.7,Credit,45163.57,False,True
103,,"['10 03/09/2019 CARD AND CR ADVICE - IBG', '16:01:01 PAYMENT', 'KITCHEN 20163388/', 'SERVICES', 'SDN BH', 'BEBK0903', '86874813']",602.96,Debit,44827.87,False,True
104,,"['10 03/09/2019 CARD AND CR ADVICE - IBG', '10:05:15 PAYMENT', 'MART', '236', 'SERVICES', 'SDN.BH']",5233.6,Debit,44224.91,False,True
105,,"['10 03/09/2019 CARD AND CR ADVICE - IBG', '10:03:00 PAYMENT', 'MART', 'PAYMENT', 'SERVICES', 'CASH & C']",218.0,Debit,38991.31,False,True
106,,"['10 03/09/2019 ELECTRO NBPS IBG Dr CA', '08:16:10', 'NIC', '009', 'NASIONAL', 'BANKING', 'BERH/AOB', 'SERVICES', 'JOM03092', '01970948']",1166.3,Debit,38773.31,False,True
107,,"['10 02/09/2019 ELECTRO FPX ABB as Byr', '21:17:29', 'NIC', '(CA)', '2320583', '00053_229', 'BANKING', '25/AOBB2', 'SERVICES', 'B01092019', '29244']",134.2,Credit,39939.61,False,True
108,,"['10 02/09/2019 ELECTRO FPX ABB as Byr', '21:17:25', 'NIC', '(CA)', '9310703', '95752_455', 'BANKING', '86/AOBB2', 'SERVICES', 'B01092019', '29244', 'Total Total Amount:']",560.4,Credit,40073.81,False,True
109,,"['Amount:', '132464', '.82', 'Page 6 of 6']",363.04,,,False,True
